"SimpName";"EngName";"TradName";"price";"birthday";"weight";"height";"IdioFoot";"nationality";"contract"
"塞尔吉奥·阿圭罗";"Sergio Leonel Kun Aguero";"阿古路";"5850万英镑";"1988-06-02";"74";"173";"右脚";"阿根廷、西班牙";"2021-06-30"
"萨迪奥.马内";"Sadio Mane";"沙迪奧文尼";"10800万英镑";"1992-04-10";"75";"174";"右脚";"塞内加尔";"2023-06-30"
