"id";"code";"name"
246;"140404";"上党区"
247;"140405";"屯留区"
248;"140406";"潞城区"
249;"140423";"襄垣县"
250;"140425";"平顺县"
251;"140426";"黎城县"
252;"140427";"壶关县"
253;"140428";"长子县"
254;"140429";"武乡县"
255;"140430";"沁县"
256;"140431";"沁源县"
257;"140500";"晋城市"
258;"140502";"城区"
259;"140521";"沁水县"
260;"140522";"阳城县"
261;"140524";"陵川县"
262;"140525";"泽州县"
263;"140581";"高平市"
264;"140600";"朔州市"
265;"140602";"朔城区"
266;"140603";"平鲁区"
267;"140621";"山阴县"
268;"140622";"应县"
269;"140623";"右玉县"
270;"140681";"怀仁市"
271;"140700";"晋中市"
272;"140702";"榆次区"
273;"140721";"榆社县"
274;"140722";"左权县"
275;"140723";"和顺县"
276;"140724";"昔阳县"
277;"140725";"寿阳县"
278;"140726";"太谷县"
279;"140727";"祁县"
280;"140728";"平遥县"
281;"140729";"灵石县"
282;"140781";"介休市"
283;"140800";"运城市"
284;"140802";"盐湖区"
285;"140821";"临猗县"
286;"140822";"万荣县"
287;"140823";"闻喜县"
288;"140824";"稷山县"
289;"140825";"新绛县"
290;"140826";"绛县"
291;"140827";"垣曲县"
292;"140828";"夏县"
293;"140829";"平陆县"
294;"140830";"芮城县"
295;"140881";"永济市"
296;"140882";"河津市"
297;"140900";"忻州市"
298;"140902";"忻府区"
299;"140921";"定襄县"
300;"140922";"五台县"
301;"140923";"代县"
302;"140924";"繁峙县"
303;"140925";"宁武县"
304;"140926";"静乐县"
305;"140927";"神池县"
306;"140928";"五寨县"
307;"140929";"岢岚县"
308;"140930";"河曲县"
309;"140931";"保德县"
310;"140932";"偏关县"
311;"140981";"原平市"
312;"141000";"临汾市"
313;"141002";"尧都区"
314;"141021";"曲沃县"
315;"141022";"翼城县"
316;"141023";"襄汾县"
317;"141024";"洪洞县"
318;"141025";"古县"
319;"141026";"安泽县"
320;"141027";"浮山县"
321;"141028";"吉县"
322;"141029";"乡宁县"
323;"141030";"大宁县"
324;"141031";"隰县"
325;"141032";"永和县"
326;"141033";"蒲县"
327;"141034";"汾西县"
328;"141081";"侯马市"
329;"141082";"霍州市"
330;"141100";"吕梁市"
331;"141102";"离石区"
332;"141121";"文水县"
333;"141122";"交城县"
334;"141123";"兴县"
335;"141124";"临县"
336;"141125";"柳林县"
337;"141126";"石楼县"
338;"141127";"岚县"
339;"141128";"方山县"
340;"141129";"中阳县"
341;"141130";"交口县"
342;"141181";"孝义市"
343;"141182";"汾阳市"
344;"150000";"内蒙古自治区"
345;"150100";"呼和浩特市"
346;"150102";"新城区"
347;"150103";"回民区"
348;"150104";"玉泉区"
349;"150105";"赛罕区"
350;"150121";"土默特左旗"
351;"150122";"托克托县"
352;"150123";"和林格尔县"
353;"150124";"清水河县"
354;"150125";"武川县"
355;"150200";"包头市"
356;"150202";"东河区"
357;"150203";"昆都仑区"
358;"150204";"青山区"
359;"150205";"石拐区"
360;"150206";"白云鄂博矿区"
361;"150207";"九原区"
362;"150221";"土默特右旗"
363;"150222";"固阳县"
364;"150223";"达尔罕茂明安联合旗"
365;"150300";"乌海市"
366;"150302";"海勃湾区"
367;"150303";"海南区"
368;"150304";"乌达区"
369;"150400";"赤峰市"
370;"150402";"红山区"
371;"150403";"元宝山区"
372;"150404";"松山区"
373;"150421";"阿鲁科尔沁旗"
374;"150422";"巴林左旗"
375;"150423";"巴林右旗"
376;"150424";"林西县"
377;"150425";"克什克腾旗"
378;"150426";"翁牛特旗"
379;"150428";"喀喇沁旗"
380;"150429";"宁城县"
381;"150430";"敖汉旗"
382;"150500";"通辽市"
383;"150502";"科尔沁区"
384;"150521";"科尔沁左翼中旗"
385;"150522";"科尔沁左翼后旗"
386;"150523";"开鲁县"
387;"150524";"库伦旗"
388;"150525";"奈曼旗"
389;"150526";"扎鲁特旗"
390;"150581";"霍林郭勒市"
391;"150600";"鄂尔多斯市"
392;"150602";"东胜区"
393;"150603";"康巴什区"
394;"150621";"达拉特旗"
395;"150622";"准格尔旗"
396;"150623";"鄂托克前旗"
397;"150624";"鄂托克旗"
398;"150625";"杭锦旗"
399;"150626";"乌审旗"
400;"150627";"伊金霍洛旗"
401;"150700";"呼伦贝尔市"
402;"150702";"海拉尔区"
403;"150703";"扎赉诺尔区"
404;"150721";"阿荣旗"
405;"150722";"莫力达瓦达斡尔族自治旗"
406;"150723";"鄂伦春自治旗"
407;"150724";"鄂温克族自治旗"
408;"150725";"陈巴尔虎旗"
409;"150726";"新巴尔虎左旗"
410;"150727";"新巴尔虎右旗"
411;"150781";"满洲里市"
412;"150782";"牙克石市"
413;"150783";"扎兰屯市"
414;"150784";"额尔古纳市"
415;"150785";"根河市"
416;"150800";"巴彦淖尔市"
417;"150802";"临河区"
418;"150821";"五原县"
419;"150822";"磴口县"
420;"150823";"乌拉特前旗"
421;"150824";"乌拉特中旗"
422;"150825";"乌拉特后旗"
423;"150826";"杭锦后旗"
424;"150900";"乌兰察布市"
425;"150902";"集宁区"
426;"150921";"卓资县"
427;"150922";"化德县"
428;"150923";"商都县"
429;"150924";"兴和县"
430;"150925";"凉城县"
431;"150926";"察哈尔右翼前旗"
432;"150927";"察哈尔右翼中旗"
433;"150928";"察哈尔右翼后旗"
434;"150929";"四子王旗"
435;"150981";"丰镇市"
436;"152200";"兴安盟"
437;"152201";"乌兰浩特市"
438;"152202";"阿尔山市"
439;"152221";"科尔沁右翼前旗"
440;"152222";"科尔沁右翼中旗"
441;"152223";"扎赉特旗"
442;"152224";"突泉县"
443;"152500";"锡林郭勒盟"
444;"152501";"二连浩特市"
445;"152502";"锡林浩特市"
446;"152522";"阿巴嘎旗"
447;"152523";"苏尼特左旗"
448;"152524";"苏尼特右旗"
449;"152525";"东乌珠穆沁旗"
450;"152526";"西乌珠穆沁旗"
451;"152527";"太仆寺旗"
452;"152528";"镶黄旗"
453;"152529";"正镶白旗"
454;"152530";"正蓝旗"
455;"152531";"多伦县"
456;"152900";"阿拉善盟"
457;"152921";"阿拉善左旗"
458;"152922";"阿拉善右旗"
459;"152923";"额济纳旗"
460;"210000";"辽宁省"
461;"210100";"沈阳市"
462;"210102";"和平区"
463;"210103";"沈河区"
464;"210104";"大东区"
465;"210105";"皇姑区"
466;"210106";"铁西区"
467;"210111";"苏家屯区"
468;"210112";"浑南区"
469;"210113";"沈北新区"
470;"210114";"于洪区"
471;"210115";"辽中区"
472;"210123";"康平县"
473;"210124";"法库县"
474;"210181";"新民市"
475;"210200";"大连市"
476;"210202";"中山区"
477;"210203";"西岗区"
478;"210204";"沙河口区"
479;"210211";"甘井子区"
480;"210212";"旅顺口区"
481;"210213";"金州区"
482;"210214";"普兰店区"
483;"210224";"长海县"
484;"210281";"瓦房店市"
485;"210283";"庄河市"
486;"210300";"鞍山市"
487;"210302";"铁东区"
488;"210303";"铁西区"
489;"210304";"立山区"
490;"210311";"千山区"
491;"210321";"台安县"
492;"210323";"岫岩满族自治县"
493;"210381";"海城市"
494;"210400";"抚顺市"
495;"210402";"新抚区"
496;"210403";"东洲区"
497;"210404";"望花区"
498;"210411";"顺城区"
499;"210421";"抚顺县"
500;"210422";"新宾满族自治县"
501;"210423";"清原满族自治县"
502;"210500";"本溪市"
503;"210502";"平山区"
504;"210503";"溪湖区"
505;"210504";"明山区"
506;"210505";"南芬区"
507;"210521";"本溪满族自治县"
508;"210522";"桓仁满族自治县"
509;"210600";"丹东市"
510;"210602";"元宝区"
511;"210603";"振兴区"
512;"210604";"振安区"
513;"210624";"宽甸满族自治县"
514;"210681";"东港市"
515;"210682";"凤城市"
516;"210700";"锦州市"
517;"210702";"古塔区"
518;"210703";"凌河区"
519;"210711";"太和区"
520;"210726";"黑山县"
521;"210727";"义县"
522;"210781";"凌海市"
523;"210782";"北镇市"
524;"210800";"营口市"
525;"210802";"站前区"
526;"210803";"西市区"
527;"210804";"鲅鱼圈区"
528;"210811";"老边区"
529;"210881";"盖州市"
530;"210882";"大石桥市"
531;"210900";"阜新市"
532;"210902";"海州区"
533;"210903";"新邱区"
534;"210904";"太平区"
535;"210905";"清河门区"
536;"210911";"细河区"
537;"210921";"阜新蒙古族自治县"
538;"210922";"彰武县"
539;"211000";"辽阳市"
540;"211002";"白塔区"
541;"211003";"文圣区"
542;"211004";"宏伟区"
543;"211005";"弓长岭区"
544;"211011";"太子河区"
545;"211021";"辽阳县"
546;"211081";"灯塔市"
547;"211100";"盘锦市"
548;"211102";"双台子区"
549;"211103";"兴隆台区"
550;"211104";"大洼区"
551;"211122";"盘山县"
552;"211200";"铁岭市"
553;"211202";"银州区"
554;"211204";"清河区"
555;"211221";"铁岭县"
556;"211223";"西丰县"
557;"211224";"昌图县"
558;"211281";"调兵山市"
559;"211282";"开原市"
560;"211300";"朝阳市"
561;"211302";"双塔区"
562;"211303";"龙城区"
563;"211321";"朝阳县"
564;"211322";"建平县"
565;"211324";"喀喇沁左翼蒙古族自治县"
566;"211381";"北票市"
567;"211382";"凌源市"
568;"211400";"葫芦岛市"
569;"211402";"连山区"
570;"211403";"龙港区"
571;"211404";"南票区"
572;"211421";"绥中县"
573;"211422";"建昌县"
574;"211481";"兴城市"
575;"220000";"吉林省"
576;"220100";"长春市"
577;"220102";"南关区"
578;"220103";"宽城区"
579;"220104";"朝阳区"
580;"220105";"二道区"
581;"220106";"绿园区"
582;"220112";"双阳区"
583;"220113";"九台区"
584;"220122";"农安县"
585;"220182";"榆树市"
586;"220183";"德惠市"
587;"220200";"吉林市"
588;"220202";"昌邑区"
589;"220203";"龙潭区"
590;"220204";"船营区"
591;"220211";"丰满区"
592;"220221";"永吉县"
593;"220281";"蛟河市"
594;"220282";"桦甸市"
595;"220283";"舒兰市"
596;"220284";"磐石市"
597;"220300";"四平市"
598;"220302";"铁西区"
599;"220303";"铁东区"
600;"220322";"梨树县"
601;"220323";"伊通满族自治县"
602;"220381";"公主岭市"
603;"220382";"双辽市"
604;"220400";"辽源市"
605;"220402";"龙山区"
606;"220403";"西安区"
607;"220421";"东丰县"
608;"220422";"东辽县"
609;"220500";"通化市"
610;"220502";"东昌区"
611;"220503";"二道江区"
612;"220521";"通化县"
613;"220523";"辉南县"
614;"220524";"柳河县"
615;"220581";"梅河口市"
616;"220582";"集安市"
617;"220600";"白山市"
618;"220602";"浑江区"
619;"220605";"江源区"
620;"220621";"抚松县"
621;"220622";"靖宇县"
622;"220623";"长白朝鲜族自治县"
623;"220681";"临江市"
624;"220700";"松原市"
625;"220702";"宁江区"
626;"220721";"前郭尔罗斯蒙古族自治县"
627;"220722";"长岭县"
628;"220723";"乾安县"
629;"220781";"扶余市"
630;"220800";"白城市"
631;"220802";"洮北区"
632;"220821";"镇赉县"
633;"220822";"通榆县"
634;"220881";"洮南市"
635;"220882";"大安市"
636;"222400";"延边朝鲜族自治州"
637;"222401";"延吉市"
638;"222402";"图们市"
639;"222403";"敦化市"
640;"222404";"珲春市"
641;"222405";"龙井市"
642;"222406";"和龙市"
643;"222424";"汪清县"
644;"222426";"安图县"
645;"230000";"黑龙江省"
646;"230100";"哈尔滨市"
647;"230102";"道里区"
648;"230103";"南岗区"
649;"230104";"道外区"
650;"230108";"平房区"
651;"230109";"松北区"
652;"230110";"香坊区"
653;"230111";"呼兰区"
654;"230112";"阿城区"
655;"230113";"双城区"
656;"230123";"依兰县"
657;"230124";"方正县"
658;"230125";"宾县"
659;"230126";"巴彦县"
660;"230127";"木兰县"
661;"230128";"通河县"
662;"230129";"延寿县"
663;"230183";"尚志市"
664;"230184";"五常市"
665;"230200";"齐齐哈尔市"
666;"230202";"龙沙区"
667;"230203";"建华区"
668;"230204";"铁锋区"
669;"230205";"昂昂溪区"
670;"230206";"富拉尔基区"
671;"230207";"碾子山区"
672;"230208";"梅里斯达斡尔族区"
673;"230221";"龙江县"
674;"230223";"依安县"
675;"230224";"泰来县"
676;"230225";"甘南县"
677;"230227";"富裕县"
678;"230229";"克山县"
679;"230230";"克东县"
